,name,price,type,종류,소재,치수,제조사,제조국,취급시 주의사항,품질보증기준,A/S 책임자,색상,크기,제품 소재,세탁방법/취급시 주의사항,제조연월,비비안웨스트우드 / 지인터내셔날㈜,이탈리아,"수분, 직사광선, 이염, 변색, 화기 등 주의(고객센터문의)",관련 법 및 소비자 분쟁해결 규정에 따름,관련법 및 소비자 분쟁 해결기준에 따름
81,릴리트 01(BR),"259,000원",luxury,선글라스,아세테이트,"프레임 정면 145 mm,  프레임 옆면 149.1 mm, 렌즈 가로 62.7 mm, 렌즈 높이 46.8 mm",제조자 : 젠틀몬스터 / 수입자 : 아이아이컴바인드,중국,사용상 주의사항  - 태양 직접 관촬용이 아님 - 일광욕실에서와 같은 인공 광원에 대한 보호용이 아님 - 역학적 충격 위해에 대한 눈 보호용이 아님  취급 주의사항  - 제품을 착용한 상태에서의 격렬한 운동은 파손으로 인해 얼굴에 중상을 입힐 위험이 있으니 주의하시기 바랍니다. - 제품은 케이스에 넣어 건조한 장소에 보관하십시오. - 섭씨 영하 10도에서 영상 35도 사이의 온도에 보관하십시오. - 차 안 대시보드와 같이 밀폐된 공간에서 햇볕에 노출되거나 고온에 방치되는 경우 제품 기능에 손상을 줄 수 있습니다.,관련법 및 소비자 분쟁해결 기준에 따름,주식회사 아이아이컴바인드,,,,,,,,,,
82,마이스터스튁 4810 키 홀더 루프 129257,"250,000원",luxury,키 홀더,PVC,40 x 5 x 110 mm,몽블랑,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
83,[공식] 사피아노 3D 오브 키링 블랙,"180,000원",luxury,키링,상품상세설명 참조,상품상세설명 참조,비비안웨스트우드 / 지인터내셔날㈜,상품상세설명 참조,"수분, 직사광선, 이염, 변색, 화기 등 주의(고객센터문의)",관련 법 및 소비자 분쟁해결 규정에 따름,1899-6407,,,,,,,,,,
84,이자벨마랑 CQ0015 22A024A 90BE 타이론 자수 로고 볼캡,"159,000원",luxury,볼캡,코튼,SIZE - 상세페이지참조,이자벨마랑/(주)트랜드메카-병행수입,브랜드국-프랑스(FRANCE)(원산지:불가리아),"화장품,향수,마찰등으로 변색,탈색,이염등 상품이 손상 될수 있으니 주의하세요. / 충격과 비틀림에 의한 파손에 주의하세요. / 피부가 민감하여 알러지 반응이 있을시 착용을 중지하세요. / 천연가죽 특성상 작은상처나 가죽결 및 약간의 색조차이가 발생할 수 있으므로, 이점은 결함으로 볼 수 없습니다. / 취급시 수분(물, 땀, 향수 등), 기름, 습기(여름철 습도 등), 온도와 직사광선을 피하여 보관, 사용하시기 바랍니다.",구입일로부터 1년. 관련법 및 소비자 분쟁해결 기준에 따름,(주)트랜드메카 고객센터/1599-3735,,,,,,,,,,
85,페라가모 34 2758 0524893 (342758 524893) 헤어밴드,"159,000원",luxury,헤어밴드,코튼,SIZE - 둘레 13cmx폭 3.2cm,살바토레페라가모/(주)트랜드메카-병행수입,브랜드국-이탈리아(ITALY)(원산지:이탈리아),"화장품,향수,마찰등으로 변색,탈색,이염등 상품이 손상 될수 있으니 주의하세요. / 충격과 비틀림에 의한 파손에 주의하세요. / 피부가 민감하여 알러지 반응이 있을시 착용을 중지하세요. / 천연가죽 특성상 작은상처나 가죽결 및 약간의 색조차이가 발생할 수 있으므로, 이점은 결함으로 볼 수 없습니다. / 취급시 수분(물, 땀, 향수 등), 기름, 습기(여름철 습도 등), 온도와 직사광선을 피하여 보관, 사용하시기 바랍니다.",구입일로부터 1년. 관련법 및 소비자 분쟁해결 기준에 따름,(주)트랜드메카 고객센터/1599-3735,,,,,,,,,,
86,[선물포장] 발망헤어 리미티드 에디션 빠스 아 슈브 미디움,"145,000원",luxury,헤어핀,아세테이트,8.2 x 4.3 x 3.5cm,발망헤어,프랑스,"1. 주얼리는 로션을 바르고, 화장을 모두 마무리하신 후, 그리고 향수까지 뿌린 후에 착용해 주세요 2. 이는 제품을 손상시킬 뿐만 아니라 도금의 수명을 단축시키며 변색의 원인이 되거나 원래의 반짝 임을 사라지게 할 수 있습니다 3. 착용 후에는 부드러운 천으로 닦아 주신 후 케이스 또는 부드러운 파우치에 보관해 주시기 바랍니다 &nbsp;4. 스크래치 혹은 기타 여러 가지 손상의 원인이 되는 딱딱한 물체와의 접촉을 피하도록 합니다.",관련 법 및 소비자 분쟁해결 규정에 따름,02-540-7667,,,,,,,,,,
87,[선물포장] 발망헤어 바렛 푸어 슈브 라지 톨더스 쉘,"130,000원",luxury,헤어핀,셀룰로스 아세테이트,9.5 x 2.5 x 2.6 cm,발망헤어/(주)베일리,폴란드,"1. 주얼리는 로션을 바르고, 화장을 모두 마무리하신 후, 그리고 향수까지 뿌린 후에 착용해 주세요 2. 이는 제품을 손상시킬 뿐만 아니라 도금의 수명을 단축시키며 변색의 원인이 되거나 원래의 반짝 임을 사라지게 할 수 있습니다 3. 착용 후에는 부드러운 천으로 닦아 주신 후 케이스 또는 부드러운 파우치에 보관해 주시기 바랍니다 &nbsp;4. 스크래치 혹은 기타 여러 가지 손상의 원인이 되는 딱딱한 물체와의 접촉을 피하도록 합니다.",관련 법 및 소비자 분쟁해결 규정에 따름,02-540-7667,,,,,,,,,,
88,[친구 맺고 3%적립] TUMI+ 에어팟 프로 파우치,"110,000원",luxury,파우치,"95% PU , 5% 가죽",9/5.75/3.75,쌤소나이트,베트남,상세페이자참조,공정거래위원회 고시(소비자분쟁해결기준)에 의거하여 보상해 드립니다.,02-336-9256,,,,,,,,,,
89,[선물포장] 발망헤어 바렛 푸어 슈브 미디움 톨더스 쉘,"98,000원",luxury,헤어핀,셀룰로스 아세테이트,9 x 1.7 x 1.7 cm,발망헤어/(주)베일리,폴란드,"1. 주얼리는 로션을 바르고, 화장을 모두 마무리하신 후, 그리고 향수까지 뿌린 후에 착용해 주세요 2. 이는 제품을 손상시킬 뿐만 아니라 도금의 수명을 단축시키며 변색의 원인이 되거나 원래의 반짝 임을 사라지게 할 수 있습니다 3. 착용 후에는 부드러운 천으로 닦아 주신 후 케이스 또는 부드러운 파우치에 보관해 주시기 바랍니다 &nbsp;4. 스크래치 혹은 기타 여러 가지 손상의 원인이 되는 딱딱한 물체와의 접촉을 피하도록 합니다.",관련 법 및 소비자 분쟁해결 규정에 따름,02-540-7667,,,,,,,,,,
90,[오피디아] 코리아 익스클루시브 탑 핸들백,"3,900,000원",luxury,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
91,발렌티노 락스터드 동전지갑 겸 카드케이스 UW2P0548-BOL-0NO 라프리마,"250,000원",luxury,동전지갑 겸 카드지갑,CALF(소가죽),,VALENTINO /병행수입(라프리마),ITALY,모든 소재의 제품은 마찰시 이염이 될수 있습니다. 미사용시 평상온도의 습하지 않은 실내에서 더스트백에 보관하시기를 권장합니다. 세탁 및 염색을 필요로 할시에는 꼭 명품수선 전문점 과 상의하셔야 합니다.,관련법 및 소비자 분쟁해결기준에 따름,"라프리마/ 상담 1833-9346, 수선문의 1833-9347",NERO(블랙),가로 13.5cm x 세로 8cm,,,,,,,,
92,[친구맺고 3% 적립] [30%off][토리버치 공식]키라 쉐브론 카드 케이스,"119,000원",luxury,카드케이스,겉감 : 천연가죽(양). 안감 : 폴리에스터 70%. 안감 : 레이온 30%.,F,제조사 : 토리버치 수입자 : 삼성물산 패션부문,중국,1. 이 제품은 가죽 배색 제품으로 세탁 불가합니다. 2. 세탁하면 가죽 부위가 수축되어 제품 형태가 변형될 수 있습니다. 3. 부분적인 오염은 발생 즉시 미지근한 중성세제로 닦아낸 후 모양을 잡아 그늘에서 건조하십시오. 4. 짙은 색상의 경우 일광에 지속적으로 노출되면 탈색될 수 있습니다.,"1.본 제품은 정부 고시 소비자분쟁해결 기준에 의거하여 고객의 피해를 보상해드립니다. ①?원단불량, 부자재불량, 봉제불량, 사이즈부정확, 부당표시(미표시 및 부실표시) 및 소재구성 부적합으로 인한 세탁사고 : 무상수리, 교환, 환급 순으로 보상.  ② 사이즈가 맞지 않거나 디자인/색상 불만 : 배송완료일로부터 7일 이내로서 제품의 손상이 없는 경우 교환 또는 환급  ③?교환 및 환급기준 ????? i) 교환 또는 환급은 구입가를 기준으로 함. 단, 품질보증기간(1년) 경과 제품은 감가(세탁업배상비율표 적용)함. ????? ii) 상하 일착인 경우 한쪽에만 이상이 있어도 일착으로 처리. 단, 소재 및 디자인이 다를 경우엔 해당 의류만 교환.  2. 소비자 부주의에 의한 제품훼손 및 세탁 잘못으로 인한 변형에 대해서는 보상의 책임을 지지 않으며, 수선 가능시에는 실비로 수선해드립니다.?",삼성물산 패션부문 고객상담실: 1599-0007,,,,,,,,,,
93,[구찌 홀스빗 1955] 미니백,"3,600,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
94,[오피디아] 카드 케이스 지갑,"750,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
95,불가리 불가리 맨 반지갑,"630,000원",luxury,상품상세설명 참조,상품상세설명 참조,,불가리,이탈리아,"불가리 가방이나 지갑에 물건을 과도하게 수납할 경우, 실루엣이 변형되거나 숄더 스트랩과 잠금장치, 버클 등이 손상될 수 있습니다. 제품을 사용하지 않을 때는 제품의 원래 형태를 유지하기 위해 티슈로 가방 안을 채운 후 제품과 함께 제공된 더스트 백에 넣어 보관하십시오 섬세한 레더에 흔적이나 자국을 남기지 않도록, 체인 또는 특수 핸들은 백 안에 접어 넣으십시오. 거친 질감의 소재는 레더 제품의 표면을 손상시킬 수 있으므로 접촉을 피하고, 화학물질이나 유분기, 메이크업 제품이나 향수에 닿지 않도록 유의하십시오. 레더 제품이 물, 습기 및 극한 온도에 노출되지 않도록 주의를 기울여야 합니다. 제품이 물기에 노출된 경우에는 부드러운 마른 천을 이용하여 문지르는 대신 가볍게 톡톡 두드려 바로 물기를 흡수시키십시오. 얼룩이 생기는 즉시 부드럽고 잘 마른 흰색 천을 이용하여 얼룩을 가볍게 톡톡 두드려 제거하십시오. 가죽이나 텍스타일 소재에 알코올, 용제 또는 얼룩 제거제와 같이 손상을 야기할 수 있는 용액을 사용해서는 안 됩니다. 얼룩이 사라지지 않으면 불가리 부티크 에 방문해주시기 바랍니다. 레더 제품이 변색될 수 있으므로 직사광선이나 인공 조명에 장기간 노출하지 마십시오. 화이트 계열의 레더 제품은 특히 빛에 민감하기 때문에 장시간 빛에 노출되면 누렇게 변색될 수 있습니다. 레더 소재의 제품 표면이 변색될 수 있으므로 페이턴트 레더 제품의 경우 PVC 코팅 표면에 닿지 않도록 유의하십시오. 불가리 자수 장식은 귀금속으로 제작되므로 손상을 야기하는 강한 알코올 또는 용액과의 접촉을 피하십시오.디지털 정품 보증서는 불가리에서 엄격한 품질 표준에 따라 디자인 및 제작한 불가리 정품 가죽 제품임을 인증하는 문서입니다. 정품 보증서는 구매일 및 정품을 인증하는 증거가 되며, 전 세계 모든 지역에서 제조상의 결함과 관련하여 2년간의 보증이 적용됩니다. 서비스를 받기 위해 방문하시는 경우 가방 또는 액세서리 구매 시 함께 제공된 디지털 정품 보증서를 지참해야 합니다. 스마트폰으로 디지털 정품 보증서에 인쇄된 QR 코드 또는 NFC 코드를 스캔하면 불가리 제품에 대한 세부 정보를 확인할 수 있습니다. 불가리 가죽 제품에는 NFC(근거리무선통신) 태그가 포함되어 있습니다. NFC 태그를 스캔하면 일련 번호, 제품 코드, 정품을 인증하는 디지털 서명 등 정품 및 품질을 보증하는 자세한 정보를 확인할 수 있습니다. 태그는 NFC 장치를 이용하여 판독할 수 있으며, 개인 정보 및 제품 소유자를 판별하는 데이터는 포함되어 있지 않습니다.",상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
96,발렌티노 VLTN 로고 남성 머플러 1Y2ER033-PTX-0NI,"420,000원",luxury,머플러,WOOL+CASHMERE(울92%+캐시미어8%),가로 180cm x 폭 35cm,VALENTINO /병행수입(라프리마),ITALY,모든 소재의 제품은 마찰시 이염이 될수 있습니다. 미사용시 평상온도의 습하지 않은 실내에서 더스트백에 보관하시기를 권장합니다. 세탁 및 염색을 필요로 할시에는 꼭 명품수선 전문점 과 상의하셔야 합니다.,관련법 및 소비자 분쟁해결기준에 따름,"라프리마 / 상담 1833-9346, 수선문의 1833-9347",,,,,,,,,,
97,모라 02,"280,000원",luxury,선글라스,메탈,"프레임 정면 145.5 mm,  프레임 옆면 148.6 mm, 렌즈 가로 48 mm, 렌즈 높이 59.1 mm",젠틀몬스터,중국,사용상 주의사항  - 태양 직접 관촬용이 아님 - 일광욕실에서와 같은 인공 광원에 대한 보호용이 아님 - 역학적 충격 위해에 대한 눈 보호용이 아님  취급 주의사항  - 제품을 착용한 상태에서의 격렬한 운동은 파손으로 인해 얼굴에 중상을 입힐 위험이 있으니 주의하시기 바랍니다. - 제품은 케이스에 넣어 건조한 장소에 보관하십시오. - 섭씨 영하 10도에서 영상 35도 사이의 온도에 보관하십시오. - 차 안 대시보드와 같이 밀폐된 공간에서 햇볕에 노출되거나 고온에 방치되는 경우 제품 기능에 손상을 줄 수 있습니다.,관련법 및 소비자 분쟁해결 기준에 따름,주식회사 아이아이컴바인드,,,,,,,,,,
98,세르펜티 포에버 크로스 백,"2,850,000원",luxury,상품상세설명 참조,상품상세설명 참조,,불가리,이탈리아,"불가리 가방이나 지갑에 물건을 과도하게 수납할 경우, 실루엣이 변형되거나 숄더 스트랩과 잠금장치, 버클 등이 손상될 수 있습니다. 제품을 사용하지 않을 때는 제품의 원래 형태를 유지하기 위해 티슈로 가방 안을 채운 후 제품과 함께 제공된 더스트 백에 넣어 보관하십시오 섬세한 레더에 흔적이나 자국을 남기지 않도록, 체인 또는 특수 핸들은 백 안에 접어 넣으십시오. 거친 질감의 소재는 레더 제품의 표면을 손상시킬 수 있으므로 접촉을 피하고, 화학물질이나 유분기, 메이크업 제품이나 향수에 닿지 않도록 유의하십시오. 레더 제품이 물, 습기 및 극한 온도에 노출되지 않도록 주의를 기울여야 합니다. 제품이 물기에 노출된 경우에는 부드러운 마른 천을 이용하여 문지르는 대신 가볍게 톡톡 두드려 바로 물기를 흡수시키십시오. 얼룩이 생기는 즉시 부드럽고 잘 마른 흰색 천을 이용하여 얼룩을 가볍게 톡톡 두드려 제거하십시오. 가죽이나 텍스타일 소재에 알코올, 용제 또는 얼룩 제거제와 같이 손상을 야기할 수 있는 용액을 사용해서는 안 됩니다. 얼룩이 사라지지 않으면 불가리 부티크 에 방문해주시기 바랍니다. 레더 제품이 변색될 수 있으므로 직사광선이나 인공 조명에 장기간 노출하지 마십시오. 화이트 계열의 레더 제품은 특히 빛에 민감하기 때문에 장시간 빛에 노출되면 누렇게 변색될 수 있습니다. 레더 소재의 제품 표면이 변색될 수 있으므로 페이턴트 레더 제품의 경우 PVC 코팅 표면에 닿지 않도록 유의하십시오. 불가리 자수 장식은 귀금속으로 제작되므로 손상을 야기하는 강한 알코올 또는 용액과의 접촉을 피하십시오.디지털 정품 보증서는 불가리에서 엄격한 품질 표준에 따라 디자인 및 제작한 불가리 정품 가죽 제품임을 인증하는 문서입니다. 정품 보증서는 구매일 및 정품을 인증하는 증거가 되며, 전 세계 모든 지역에서 제조상의 결함과 관련하여 2년간의 보증이 적용됩니다. 서비스를 받기 위해 방문하시는 경우 가방 또는 액세서리 구매 시 함께 제공된 디지털 정품 보증서를 지참해야 합니다. 스마트폰으로 디지털 정품 보증서에 인쇄된 QR 코드 또는 NFC 코드를 스캔하면 불가리 제품에 대한 세부 정보를 확인할 수 있습니다. 불가리 가죽 제품에는 NFC(근거리무선통신) 태그가 포함되어 있습니다. NFC 태그를 스캔하면 일련 번호, 제품 코드, 정품을 인증하는 디지털 서명 등 정품 및 품질을 보증하는 자세한 정보를 확인할 수 있습니다. 태그는 NFC 장치를 이용하여 판독할 수 있으며, 개인 정보 및 제품 소유자를 판별하는 데이터는 포함되어 있지 않습니다.",상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
99,Demi-Lune Mini Compact Wallet,"319,000원",luxury,지갑,소가죽 100%,10 x 8.5 x 2 cm,A.P.C./(주)아이디룩,스페인,부드러운 천에 무색의 왁스를 소량 묻혀 닦아 보관,1. 공정거래위원회 고시 내 소비자 분쟁해결기준에 의거 보상합니다.  2. 구입 후 7일이내 제품에 손상이 없을 경우 교환 또는 환불 받으실 수 있습니다.  (고객변심에 의한 경우에는 왕복택배비를 부담)   3. 수령상품이 불량일 경우 자체 검품 확인후 교환 또는 환불이 가능합니다.,(주)아이디룩 고객센터 1833-2250,,,,,,,,,,
100,[공식] 사피아노 3D 오브 키링 블랙,"180,000원",luxury,키링,상품상세설명 참조,상품상세설명 참조,비비안웨스트우드 / 지인터내셔날㈜,상품상세설명 참조,"수분, 직사광선, 이염, 변색, 화기 등 주의(고객센터문의)",관련 법 및 소비자 분쟁해결 규정에 따름,1899-6407,,,,,,,,,,
101,[친구맺고 3% 적립] [30%off][토리버치 공식]키라 쉐브론 컬러블록 카드 케이스,"147,000원",luxury,지갑,겉감 : 천연가죽(양). 안감 : 폴리에스터 70%. 안감 : 레이온 30%. 배색 : 천연가죽(염소).,상세설명 참조,삼성물산 패션부문,상세설명 참조,상세설명참조,상세설명참조,삼성물산 패션부분 1599-0007,,,,,,,,,,
102,버버리 8027167 A7026 보 타이 토마스 베어 참 키링,"319,000원",luxury,키링,캐시미어 폴리우레탄,SIZE - 12cm,버버리/㈜트랜드메카-병행수입,브랜드국-영국(UNITED KINGDOM)(원산지:중국),"화장품,향수,마찰등으로 변색,탈색,이염등 상품이 손상 될수 있으니 주의하세요. / 충격과 비틀림에 의한 파손에 주의하세요. / 피부가 민감하여 알러지 반응이 있을시 착용을 중지하세요. / 천연가죽 특성상 작은상처나 가죽결 및 약간의 색조차이가 발생할 수 있으므로, 이점은 결함으로 볼 수 없습니다. / 취급시 수분(물, 땀, 향수 등), 기름, 습기(여름철 습도 등), 온도와 직사광선을 피하여 보관, 사용하시기 바랍니다.",구입일로부터 1년. 관련법 및 소비자 분쟁해결 기준에 따름,(주)트랜드메카 고객센터/1599-3735,,,,,,,,,,
103,[잭슨] 남성 레더 나일론 스니커즈,"1,320,000원",luxury,,,상품상세설명 참조,제조자 : TOM FORD DISTRIBUTION S.R.L. [수입자 - 톰포드리테일코리아],이태리,상품상세설명 참조,"품질보증기준: A/S 보증기간 1년 (상품 이상 시 무상수선, 고객의 부주의로 판단되는 경우 유상수선)",톰포드리테일코리아 (02-6205-2322),상품상세설명 참조,,상품상세설명 참조,,,,,,,
104,몽블랑 블랙 컬러 벨트 116706,"410,000원",luxury,벨트,천연가죽(소가죽),1200 x 30 x 5 mm,몽블랑,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
105,세르펜티 포에버 마이크로 백,"780,000원",luxury,상품상세설명 참조,상품상세설명 참조,,불가리,이탈리아,"불가리 가방이나 지갑에 물건을 과도하게 수납할 경우, 실루엣이 변형되거나 숄더 스트랩과 잠금장치, 버클 등이 손상될 수 있습니다. 제품을 사용하지 않을 때는 제품의 원래 형태를 유지하기 위해 티슈로 가방 안을 채운 후 제품과 함께 제공된 더스트 백에 넣어 보관하십시오 섬세한 레더에 흔적이나 자국을 남기지 않도록, 체인 또는 특수 핸들은 백 안에 접어 넣으십시오. 거친 질감의 소재는 레더 제품의 표면을 손상시킬 수 있으므로 접촉을 피하고, 화학물질이나 유분기, 메이크업 제품이나 향수에 닿지 않도록 유의하십시오. 레더 제품이 물, 습기 및 극한 온도에 노출되지 않도록 주의를 기울여야 합니다. 제품이 물기에 노출된 경우에는 부드러운 마른 천을 이용하여 문지르는 대신 가볍게 톡톡 두드려 바로 물기를 흡수시키십시오. 얼룩이 생기는 즉시 부드럽고 잘 마른 흰색 천을 이용하여 얼룩을 가볍게 톡톡 두드려 제거하십시오. 가죽이나 텍스타일 소재에 알코올, 용제 또는 얼룩 제거제와 같이 손상을 야기할 수 있는 용액을 사용해서는 안 됩니다. 얼룩이 사라지지 않으면 불가리 부티크 에 방문해주시기 바랍니다. 레더 제품이 변색될 수 있으므로 직사광선이나 인공 조명에 장기간 노출하지 마십시오. 화이트 계열의 레더 제품은 특히 빛에 민감하기 때문에 장시간 빛에 노출되면 누렇게 변색될 수 있습니다. 레더 소재의 제품 표면이 변색될 수 있으므로 페이턴트 레더 제품의 경우 PVC 코팅 표면에 닿지 않도록 유의하십시오. 불가리 자수 장식은 귀금속으로 제작되므로 손상을 야기하는 강한 알코올 또는 용액과의 접촉을 피하십시오.디지털 정품 보증서는 불가리에서 엄격한 품질 표준에 따라 디자인 및 제작한 불가리 정품 가죽 제품임을 인증하는 문서입니다. 정품 보증서는 구매일 및 정품을 인증하는 증거가 되며, 전 세계 모든 지역에서 제조상의 결함과 관련하여 2년간의 보증이 적용됩니다. 서비스를 받기 위해 방문하시는 경우 가방 또는 액세서리 구매 시 함께 제공된 디지털 정품 보증서를 지참해야 합니다. 스마트폰으로 디지털 정품 보증서에 인쇄된 QR 코드 또는 NFC 코드를 스캔하면 불가리 제품에 대한 세부 정보를 확인할 수 있습니다. 불가리 가죽 제품에는 NFC(근거리무선통신) 태그가 포함되어 있습니다. NFC 태그를 스캔하면 일련 번호, 제품 코드, 정품을 인증하는 디지털 서명 등 정품 및 품질을 보증하는 자세한 정보를 확인할 수 있습니다. 태그는 NFC 장치를 이용하여 판독할 수 있으며, 개인 정보 및 제품 소유자를 판별하는 데이터는 포함되어 있지 않습니다.",상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
106,페라가모 66 0371 0741376 (660371 741376) 카드지갑,"212,900원",luxury,카드지갑,소가죽,SIZE - 8cmx10cm,살바토레페라가모/(주)트랜드메카-병행수입,브랜드국-이탈리아(ITALY)(원산지:이탈리아),"화장품,향수,마찰등으로 변색,탈색,이염등 상품이 손상 될수 있으니 주의하세요. / 충격과 비틀림에 의한 파손에 주의하세요. / 피부가 민감하여 알러지 반응이 있을시 착용을 중지하세요. / 천연가죽 특성상 작은상처나 가죽결 및 약간의 색조차이가 발생할 수 있으므로, 이점은 결함으로 볼 수 없습니다. / 취급시 수분(물, 땀, 향수 등), 기름, 습기(여름철 습도 등), 온도와 직사광선을 피하여 보관, 사용하시기 바랍니다.",구입일로부터 1년. 관련법 및 소비자 분쟁해결 기준에 따름,(주)트랜드메카 고객센터/1599-3735,,,,,,,,,,
107,[T 라인] 그레인 레더 머니클립,"710,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
108,로지 01,"269,000원",luxury,선글라스,아세테이트,"프레임 정면 149.5 mm,  프레임 옆면 153.9 mm, 렌즈 가로 55 mm, 렌즈 높이 63.7 mm",젠틀몬스터,중국,사용상 주의사항  - 태양 직접 관촬용이 아님 - 일광욕실에서와 같은 인공 광원에 대한 보호용이 아님 - 역학적 충격 위해에 대한 눈 보호용이 아님  취급 주의사항  - 제품을 착용한 상태에서의 격렬한 운동은 파손으로 인해 얼굴에 중상을 입힐 위험이 있으니 주의하시기 바랍니다. - 제품은 케이스에 넣어 건조한 장소에 보관하십시오. - 섭씨 영하 10도에서 영상 35도 사이의 온도에 보관하십시오. - 차 안 대시보드와 같이 밀폐된 공간에서 햇볕에 노출되거나 고온에 방치되는 경우 제품 기능에 손상을 줄 수 있습니다.,관련법 및 소비자 분쟁해결 기준에 따름,주식회사 아이아이컴바인드,,,,,,,,,,
109,가죽 카드 홀더,"454,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
110,Ninon Mini Bag,"349,000원",luxury,크로스백,"폴리우레탄60%, 폴리에스터40%",,A.P.C./㈜아이디룩,중국,세탁불가 / 상품 취급주의 참조,A/S 책임자,,83(BEIGE),17 x 21 x 10 cm,,,,,,,,
111,MUSEO 소프트 백,"1,710,000원",luxury,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
112,[친구 맺고 3%적립] [30%off][토리버치 공식]페리 봄베 컬러 블록 탑집 카드케이스,"175,000원",luxury,카드케이스,겉감 : 천연가죽(소). 안감 : 폴리에스터 70%. 안감 : 레이온 30%. 배색 : 천연가죽(소).,F,제조사 : 토리버치 수입자 : 삼성물산 패션부문,캄보디아,1. 이 제품은 가죽 배색 제품으로 세탁 불가합니다. 2. 세탁하면 가죽 부위가 수축되어 제품 형태가 변형될 수 있습니다. 3. 부분적인 오염은 발생 즉시 미지근한 중성세제로 닦아낸 후 모양을 잡아 그늘에서 건조하십시오. 4. 짙은 색상의 경우 일광에 지속적으로 노출되면 탈색될 수 있습니다.,"1.본 제품은 정부 고시 소비자분쟁해결 기준에 의거하여 고객의 피해를 보상해드립니다. ①?원단불량, 부자재불량, 봉제불량, 사이즈부정확, 부당표시(미표시 및 부실표시) 및 소재구성 부적합으로 인한 세탁사고 : 무상수리, 교환, 환급 순으로 보상.  ② 사이즈가 맞지 않거나 디자인/색상 불만 : 배송완료일로부터 7일 이내로서 제품의 손상이 없는 경우 교환 또는 환급  ③?교환 및 환급기준 ????? i) 교환 또는 환급은 구입가를 기준으로 함. 단, 품질보증기간(1년) 경과 제품은 감가(세탁업배상비율표 적용)함. ????? ii) 상하 일착인 경우 한쪽에만 이상이 있어도 일착으로 처리. 단, 소재 및 디자인이 다를 경우엔 해당 의류만 교환.  2. 소비자 부주의에 의한 제품훼손 및 세탁 잘못으로 인한 변형에 대해서는 보상의 책임을 지지 않으며, 수선 가능시에는 실비로 수선해드립니다.?",삼성물산 패션부문 고객상담실: 1599-0007,,,,,,,,,,
113,[공식] 샤이니 페이턴트 플랩 카드지갑 블랙,"330,000원",luxury,지갑,100% Cow Leather,가로 11 x 세로 7 x 폭 3,비비안웨스트우드 / 지인터내셔날㈜,중국,"수분, 직사광선, 이염, 변색, 화기 등 주의(고객센터문의)",관련 법 및 소비자 분쟁해결 규정에 따름,고객센터 1899-6407,,,,,,,,,,
